Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Djibouti,8.83337E+11,8.85925E+11,8.88531E+11,8.9066E+11,8.87811E+11,8.99616E+11,8.835E+11,8.97706E+11,9.00089E+11,9.0463E+11,9.06341E+11,9.08163E+11,9.17282E+11,9.18962E+11,9.22142E+11,9.27351E+11,9.33033E+11,9.48077E+11,9.5844E+11,9.621E+11,9.68253E+11,9.61591E+11,9.5818E+11
Dominica,1.17145E+11,1.03735E+11,1.03116E+11,94934655658,98582082241,95830276082,99978694700,95299525586,1.03434E+11,1.06333E+11,96743233099,1.02017E+11,99389953133,1.01641E+11,99742554143,1.0068E+11,99871409187,99934034000,1.00119E+11,1.0014E+11,1.00065E+11,1.00381E+11,1.00324E+11
Dominican Republic,1.13419E+13,1.21508E+13,1.3515E+13,1.31343E+13,1.42356E+13,1.44E+13,1.50908E+13,1.61303E+13,1.54912E+13,1.62466E+13,1.693E+13,1.69473E+13,1.68544E+13,1.73791E+13,1.81693E+13,1.79985E+13,1.81253E+13,1.91054E+13,1.9898E+13,1.97573E+13,1.98012E+13,2.07018E+13,2.14009E+13
Ecuador,2.77326E+13,2.93362E+13,2.95436E+13,3.06347E+13,3.19937E+13,3.12696E+13,3.08385E+13,3.19568E+13,3.3056E+13,3.50641E+13,3.61885E+13,3.44752E+13,3.48564E+13,3.34546E+13,3.52393E+13,3.64567E+13,3.27673E+13,3.3649E+13,3.17932E+13,3.3109E+13,3.32885E+13,3.47908E+13,3.23535E+13
Egypt,8.99943E+13,8.56856E+13,9.12908E+13,9.25975E+13,9.34872E+13,9.97434E+13,1.0046E+14,9.90993E+13,1.05637E+14,1.03026E+14,9.45598E+13,1.02259E+14,1.09571E+14,1.11174E+14,1.10981E+14,1.11402E+14,1.10788E+14,1.10134E+14,9.19605E+13,1.06788E+14,1.08533E+14,1.12653E+14,1.13338E+14
El Salvador,9.07036E+12,9.25381E+12,9.37579E+12,9.07121E+12,9.56375E+12,9.51942E+12,1.0022E+13,9.99719E+12,1.05902E+13,1.05305E+13,1.00665E+13,9.84268E+12,1.08423E+13,1.05075E+13,1.0565E+13,1.01416E+13,1.07654E+13,1.05932E+13,9.96796E+12,1.03255E+13,1.02762E+13,1.05673E+13,1.03709E+13
Equatorial Guinea,5.00279E+11,4.83891E+11,4.64737E+11,4.125E+11,4.30578E+11,4.9227E+11,4.83602E+11,4.58529E+11,4.60493E+11,4.62384E+11,3.89732E+11,4.00881E+11,4.22308E+11,4.34452E+11,4.78557E+11,5.62335E+11,6.39274E+11,7.16192E+11,7.5401E+11,7.5678E+11,7.55723E+11,7.56015E+11,7.5536E+11
Eritrea,5.3728E+12,5.33263E+12,4.54086E+12,4.75056E+12,4.76677E+12,5.26628E+12,5.31985E+12,5.63918E+12,4.92879E+12,5.05915E+12,5.11461E+12,5.31629E+12,5.33828E+12,5.37586E+12,5.39436E+12,5.41919E+12,5.45032E+12,5.48488E+12,5.51252E+12,5.52413E+12,5.53555E+12,5.56042E+12,5.58419E+12
Estonia,4.88844E+12,4.95168E+12,5.05263E+12,5.00639E+12,4.12875E+12,4.18333E+12,3.76181E+12,4.40506E+12,4.38357E+12,4.73259E+12,4.69143E+12,5.15903E+12,6.15428E+12,6.2088E+12,6.8515E+12,8.20246E+12,6.38543E+12,8.04109E+12,6.77015E+12,8.71516E+12,8.86577E+12,7.45047E+12,8.39215E+12
Ethiopia,1.06981E+14,1.14948E+14,1.24111E+14,1.24115E+14,1.27605E+14,1.3664E+14,1.43062E+14,1.52616E+14,1.5803E+14,1.65507E+14,1.75436E+14,1.75999E+14,1.82066E+14,1.90017E+14,1.99365E+14,2.06025E+14,2.11522E+14,2.18932E+14,2.23373E+14,2.36004E+14,2.46348E+14,2.3744E+14,2.41764E+14
